Timestamp,Frequency
1994-12-31,9
1995-12-31,5
1996-12-31,3
1997-12-31,10
1998-12-31,15
1999-12-31,9
2000-12-31,47
2001-12-31,14
2002-12-31,26
2003-12-31,15
2004-12-31,14
2005-12-31,15
2006-12-31,30
2007-12-31,42
2008-12-31,29
2009-12-31,30
2010-12-31,39
2011-12-31,61
2012-12-31,145
2013-12-31,127
2014-12-31,595
2015-12-31,772
2016-12-31,812
2017-12-31,1237
